Unique ID,Week,Player,Player ID,REB,FTM,PTS,AST,3PTM,STL,FGA,FGM,FTA,TO,BLK,Fantasy Points
1,1,Josh Okogie,4065663,9.0,5.0,17.0,6.0,2.0,0.0,-9.0,10.0,-5.0,-2.0,4.0,37.0
2,1,Ausar Thompson,4684742,7.0,1.0,4.0,6.0,1.0,0.0,-7.0,2.0,-2.0,-4.0,20.0,28.0
3,1,Tyrese Haliburton,4396993,11.0,3.0,41.0,48.0,6.0,4.0,-32.0,32.0,-3.0,-8.0,8.0,110.0
4,1,Onyeka Okongwu,4431680,7.0,0.0,14.0,4.0,0.0,4.0,-11.0,14.0,0.0,-2.0,0.0,30.0
5,1,Austin Reaves,4066457,12.0,8.0,29.0,14.0,3.0,16.0,-30.0,18.0,-11.0,-12.0,0.0,47.0
6,1,Keldon Johnson,4395723,18.0,5.0,42.0,24.0,5.0,4.0,-38.0,32.0,-7.0,-12.0,4.0,77.0
7,1,Darius Garland,4396907,2.0,2.0,15.0,10.0,1.0,8.0,-12.0,12.0,-2.0,-12.0,0.0,24.0
8,1,Aaron Gordon,3064290,12.0,1.0,34.0,20.0,1.0,24.0,-29.0,32.0,-4.0,-4.0,20.0,107.0
9,1,Damian Lillard,6606,12.0,17.0,45.0,18.0,6.0,8.0,-32.0,22.0,-17.0,-12.0,0.0,67.0
10,1,Kawhi Leonard,6450,17.0,7.0,69.0,30.0,12.0,20.0,-52.0,50.0,-10.0,-16.0,4.0,131.0
11,1,Dejounte Murray,3907497,10.0,9.0,44.0,34.0,1.0,12.0,-43.0,34.0,-11.0,-10.0,8.0,88.0
12,1,Jamal Murray,3936299,5.0,6.0,62.0,38.0,8.0,0.0,-44.0,48.0,-6.0,-16.0,8.0,109.0
13,1,Michael Porter Jr.,4278104,34.0,1.0,41.0,14.0,8.0,8.0,-34.0,32.0,-1.0,-4.0,0.0,99.0
14,1,Chris Paul,2779,13.0,8.0,32.0,56.0,0.0,24.0,-35.0,24.0,-9.0,-10.0,0.0,103.0
15,2,Tyrese Haliburton,4396993,9.0,21.0,80.0,76.0,9.0,16.0,-51.0,50.0,-23.0,-22.0,4.0,169.0
16,2,Jarrett Allen,4066328,9.0,2.0,12.0,6.0,0.0,0.0,-7.0,10.0,-2.0,-4.0,0.0,26.0
17,2,Austin Reaves,4066457,5.0,3.0,31.0,10.0,4.0,8.0,-23.0,24.0,-4.0,-8.0,4.0,54.0
18,2,Darius Garland,4396907,3.0,16.0,38.0,26.0,0.0,8.0,-28.0,22.0,-17.0,-20.0,4.0,52.0
19,2,Keldon Johnson,4395723,16.0,5.0,60.0,26.0,7.0,24.0,-49.0,48.0,-6.0,0.0,4.0,135.0
20,2,Aaron Gordon,3064290,29.0,7.0,58.0,30.0,3.0,16.0,-41.0,48.0,-12.0,-24.0,12.0,126.0
21,2,Xavier Tillman,4277964,11.0,0.0,6.0,10.0,0.0,8.0,-11.0,6.0,0.0,-6.0,8.0,32.0
22,2,Damian Lillard,6606,11.0,27.0,70.0,28.0,7.0,8.0,-38.0,36.0,-30.0,-20.0,4.0,103.0
23,2,Dereck Lively II,4683688,6.0,0.0,2.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,4.0,12.0
24,2,Kawhi Leonard,6450,14.0,5.0,46.0,16.0,5.0,16.0,-39.0,36.0,-8.0,-6.0,0.0,85.0
25,2,Dejounte Murray,3907497,19.0,7.0,85.0,40.0,8.0,12.0,-59.0,70.0,-8.0,-20.0,4.0,158.0
26,2,Walker Kessler,4433136,18.0,2.0,12.0,2.0,0.0,0.0,-13.0,10.0,-4.0,-2.0,40.0,65.0
27,2,Jamal Murray,3936299,13.0,10.0,52.0,66.0,6.0,8.0,-53.0,36.0,-13.0,-16.0,12.0,121.0
28,2,Michael Porter Jr.,4278104,21.0,5.0,64.0,12.0,11.0,8.0,-53.0,48.0,-6.0,-8.0,24.0,126.0
29,2,Chris Paul,2779,13.0,1.0,21.0,56.0,2.0,24.0,-31.0,18.0,-2.0,-2.0,0.0,100.0
30,3,Tyrese Haliburton,4396993,15.0,13.0,93.0,96.0,12.0,16.0,-62.0,68.0,-13.0,-12.0,12.0,238.0
31,3,Lonnie Walker IV,4277890,2.0,0.0,5.0,4.0,1.0,0.0,-8.0,4.0,0.0,-2.0,0.0,6.0
32,3,Jarrett Allen,4066328,11.0,14.0,26.0,10.0,0.0,8.0,-12.0,12.0,-18.0,-4.0,4.0,51.0
33,3,Austin Reaves,4066457,16.0,10.0,63.0,48.0,7.0,16.0,-46.0,46.0,-11.0,-18.0,0.0,131.0
34,3,Keldon Johnson,4395723,20.0,7.0,42.0,20.0,3.0,4.0,-40.0,32.0,-10.0,-6.0,4.0,76.0
35,3,Darius Garland,4396907,9.0,4.0,34.0,26.0,4.0,28.0,-24.0,26.0,-7.0,-24.0,4.0,80.0
36,3,Deni Avdija,4683021,18.0,4.0,34.0,26.0,2.0,16.0,-37.0,28.0,-5.0,-12.0,8.0,82.0
37,3,Aaron Gordon,3064290,31.0,7.0,45.0,28.0,2.0,12.0,-35.0,36.0,-12.0,-12.0,16.0,118.0
38,3,Damian Lillard,6606,8.0,21.0,55.0,20.0,4.0,16.0,-40.0,30.0,-23.0,-4.0,0.0,87.0
39,3,Dejounte Murray,3907497,12.0,10.0,68.0,26.0,14.0,24.0,-47.0,44.0,-13.0,-20.0,4.0,122.0
40,3,Kawhi Leonard,6450,19.0,11.0,75.0,24.0,6.0,12.0,-63.0,58.0,-12.0,-6.0,12.0,136.0
41,3,Walker Kessler,4433136,15.0,4.0,15.0,0.0,1.0,0.0,-12.0,10.0,-6.0,-2.0,16.0,41.0
42,3,Michael Porter Jr.,4278104,27.0,4.0,64.0,10.0,8.0,0.0,-52.0,52.0,-4.0,-6.0,12.0,115.0
43,3,Chris Paul,2779,14.0,5.0,37.0,48.0,4.0,16.0,-29.0,28.0,-5.0,-12.0,0.0,106.0
44,4,Tyrese Haliburton,4396993,9.0,7.0,45.0,36.0,8.0,8.0,-32.0,30.0,-8.0,-8.0,8.0,103.0
45,4,Jarrett Allen,4066328,30.0,12.0,48.0,18.0,0.0,4.0,-27.0,36.0,-18.0,-18.0,32.0,117.0
46,4,Austin Reaves,4066457,31.0,13.0,49.0,50.0,6.0,4.0,-30.0,30.0,-17.0,-24.0,0.0,112.0
47,4,Keldon Johnson,4395723,12.0,4.0,43.0,16.0,9.0,4.0,-30.0,30.0,-5.0,-6.0,4.0,81.0
48,4,Darius Garland,4396907,9.0,13.0,70.0,30.0,7.0,4.0,-49.0,50.0,-17.0,-20.0,4.0,101.0
49,4,Deni Avdija,4683021,15.0,4.0,42.0,24.0,6.0,16.0,-24.0,32.0,-4.0,-14.0,4.0,101.0
50,4,Aaron Gordon,3064290,17.0,6.0,45.0,24.0,1.0,8.0,-37.0,38.0,-12.0,-8.0,8.0,90.0
51,4,Damian Lillard,6606,15.0,33.0,103.0,70.0,14.0,16.0,-71.0,56.0,-35.0,-24.0,0.0,177.0
52,4,Kawhi Leonard,6450,10.0,10.0,41.0,8.0,5.0,40.0,-30.0,26.0,-12.0,-12.0,4.0,90.0
53,4,Dejounte Murray,3907497,11.0,10.0,58.0,30.0,4.0,20.0,-49.0,44.0,-12.0,-12.0,0.0,104.0
54,4,Michael Porter Jr.,4278104,22.0,2.0,49.0,0.0,9.0,8.0,-40.0,38.0,-5.0,-8.0,4.0,79.0
55,4,Mike Conley,3195,7.0,5.0,32.0,32.0,5.0,12.0,-22.0,22.0,-5.0,-8.0,0.0,80.0
56,4,Chris Paul,2779,12.0,4.0,42.0,46.0,10.0,28.0,-31.0,28.0,-4.0,-10.0,4.0,129.0
57,5,Tyrese Haliburton,4396993,5.0,7.0,59.0,52.0,10.0,0.0,-45.0,42.0,-8.0,-8.0,4.0,118.0
58,5,Jarrett Allen,4066328,35.0,7.0,69.0,22.0,0.0,12.0,-44.0,62.0,-8.0,-18.0,16.0,153.0
59,5,Austin Reaves,4066457,10.0,10.0,34.0,30.0,2.0,20.0,-21.0,22.0,-10.0,-8.0,0.0,89.0
60,5,Darius Garland,4396907,4.0,4.0,44.0,28.0,4.0,8.0,-33.0,36.0,-5.0,-20.0,0.0,70.0
61,5,Keldon Johnson,4395723,26.0,12.0,69.0,34.0,7.0,12.0,-49.0,50.0,-17.0,-8.0,4.0,140.0
62,5,Deni Avdija,4683021,20.0,5.0,31.0,20.0,2.0,0.0,-28.0,24.0,-6.0,-8.0,4.0,64.0
63,5,Aaron Gordon,3064290,26.0,5.0,28.0,20.0,1.0,12.0,-39.0,22.0,-10.0,-10.0,0.0,55.0
64,5,Damian Lillard,6606,16.0,18.0,80.0,44.0,8.0,8.0,-56.0,54.0,-21.0,-10.0,0.0,141.0
65,5,Dejounte Murray,3907497,18.0,11.0,65.0,52.0,8.0,32.0,-67.0,46.0,-11.0,-18.0,0.0,136.0
66,5,Kawhi Leonard,6450,22.0,14.0,75.0,26.0,5.0,16.0,-63.0,56.0,-15.0,-8.0,16.0,144.0
67,5,Michael Porter Jr.,4278104,27.0,7.0,78.0,10.0,15.0,8.0,-59.0,56.0,-9.0,-16.0,16.0,133.0
68,5,Mike Conley,3195,8.0,2.0,35.0,48.0,11.0,8.0,-27.0,22.0,-2.0,-6.0,4.0,103.0
69,5,Chris Paul,2779,11.0,4.0,20.0,44.0,4.0,8.0,-13.0,12.0,-4.0,-4.0,0.0,82.0
70,6,Dejounte Murray,3907497,8.0,4.0,67.0,12.0,9.0,36.0,-54.0,54.0,-4.0,-10.0,4.0,126.0
71,6,Kawhi Leonard,6450,32.0,16.0,108.0,26.0,8.0,20.0,-77.0,84.0,-19.0,-10.0,16.0,204.0
72,6,Tyrese Haliburton,4396993,4.0,16.0,77.0,38.0,9.0,12.0,-45.0,52.0,-21.0,-10.0,4.0,136.0
73,6,Jarrett Allen,4066328,29.0,4.0,42.0,14.0,0.0,4.0,-24.0,38.0,-6.0,-6.0,8.0,103.0
74,6,Jalen Duren,4433621,44.0,3.0,45.0,12.0,0.0,8.0,-31.0,42.0,-11.0,-24.0,32.0,120.0
75,6,Austin Reaves,4066457,11.0,11.0,50.0,20.0,3.0,12.0,-38.0,36.0,-12.0,-16.0,4.0,81.0
76,6,Keldon Johnson,4395723,18.0,6.0,33.0,12.0,3.0,8.0,-22.0,24.0,-7.0,-8.0,0.0,67.0
77,6,Darius Garland,4396907,8.0,6.0,56.0,40.0,6.0,24.0,-56.0,44.0,-8.0,-24.0,4.0,100.0
78,6,Michael Porter Jr.,4278104,38.0,4.0,70.0,28.0,10.0,12.0,-58.0,56.0,-6.0,-8.0,12.0,158.0
79,6,Mike Conley,3195,5.0,2.0,17.0,30.0,5.0,12.0,-20.0,10.0,-2.0,-4.0,0.0,55.0
80,6,Chris Paul,2779,0.0,0.0,3.0,0.0,1.0,8.0,-2.0,2.0,0.0,0.0,0.0,12.0
81,6,Damian Lillard,6606,15.0,15.0,75.0,62.0,8.0,12.0,-50.0,52.0,-16.0,-24.0,4.0,153.0
82,7,Tyrese Haliburton,4396993,17.0,3.0,53.0,56.0,8.0,4.0,-37.0,42.0,-3.0,0.0,4.0,147.0
83,7,Jarrett Allen,4066328,20.0,0.0,14.0,6.0,0.0,8.0,-14.0,14.0,-2.0,-8.0,0.0,38.0
84,7,Austin Reaves,4066457,11.0,7.0,37.0,18.0,6.0,4.0,-25.0,24.0,-7.0,-10.0,0.0,65.0
85,7,Keldon Johnson,4395723,12.0,6.0,41.0,16.0,7.0,8.0,-26.0,28.0,-7.0,-8.0,8.0,85.0
86,7,Darius Garland,4396907,5.0,10.0,44.0,30.0,2.0,16.0,-29.0,32.0,-12.0,-4.0,0.0,94.0
87,7,Aaron Gordon,3064290,12.0,1.0,11.0,10.0,0.0,8.0,-14.0,10.0,-5.0,-2.0,0.0,31.0
88,7,Damian Lillard,6606,10.0,13.0,52.0,28.0,9.0,8.0,-33.0,30.0,-14.0,-12.0,8.0,99.0
89,7,Kawhi Leonard,6450,9.0,7.0,58.0,20.0,7.0,4.0,-39.0,44.0,-7.0,-8.0,8.0,103.0
90,7,Dejounte Murray,3907497,14.0,4.0,33.0,36.0,3.0,8.0,-33.0,26.0,-4.0,-8.0,0.0,79.0
91,7,Jalen Duren,4433621,11.0,1.0,17.0,0.0,0.0,0.0,-12.0,16.0,-1.0,-4.0,4.0,32.0
92,7,Jamal Murray,3936299,5.0,6.0,44.0,18.0,6.0,4.0,-35.0,32.0,-6.0,-4.0,4.0,74.0
93,7,Michael Porter Jr.,4278104,17.0,1.0,38.0,0.0,7.0,0.0,-20.0,30.0,-1.0,-8.0,12.0,76.0
94,7,Mike Conley,3195,8.0,9.0,37.0,22.0,6.0,12.0,-24.0,22.0,-9.0,-6.0,0.0,77.0
95,8,Tyrese Haliburton,4396993,12.0,9.0,55.0,68.0,6.0,4.0,-45.0,40.0,-11.0,-28.0,8.0,118.0
96,8,Jarrett Allen,4066328,36.0,3.0,51.0,20.0,0.0,24.0,-33.0,48.0,-6.0,-20.0,12.0,135.0
97,8,Austin Reaves,4066457,16.0,6.0,59.0,40.0,11.0,4.0,-42.0,42.0,-7.0,-12.0,0.0,117.0
98,8,Keldon Johnson,4395723,22.0,13.0,70.0,38.0,7.0,32.0,-62.0,50.0,-14.0,-22.0,0.0,134.0
99,8,Darius Garland,4396907,10.0,11.0,81.0,30.0,10.0,20.0,-65.0,60.0,-12.0,-20.0,0.0,125.0
100,8,Aaron Gordon,3064290,31.0,12.0,61.0,28.0,1.0,12.0,-42.0,48.0,-15.0,-8.0,4.0,132.0
101,8,Damian Lillard,6606,17.0,30.0,107.0,62.0,15.0,16.0,-72.0,62.0,-34.0,-22.0,8.0,189.0
102,8,Kawhi Leonard,6450,25.0,30.0,128.0,28.0,12.0,28.0,-65.0,86.0,-32.0,-8.0,8.0,240.0
103,8,Dejounte Murray,3907497,19.0,7.0,79.0,46.0,8.0,12.0,-76.0,64.0,-9.0,-6.0,12.0,156.0
104,8,Jamal Murray,3936299,12.0,6.0,60.0,22.0,6.0,16.0,-43.0,48.0,-6.0,-14.0,12.0,119.0
105,8,Michael Porter Jr.,4278104,31.0,6.0,49.0,8.0,7.0,8.0,-53.0,36.0,-8.0,-4.0,0.0,80.0
106,8,Mike Conley,3195,4.0,2.0,19.0,24.0,3.0,8.0,-14.0,14.0,-2.0,-2.0,0.0,56.0
107,8,Chris Paul,2779,15.0,4.0,33.0,66.0,5.0,12.0,-28.0,24.0,-5.0,-16.0,0.0,110.0
108,9,Kawhi Leonard,6450,12.0,7.0,58.0,12.0,3.0,8.0,-40.0,48.0,-7.0,-6.0,4.0,99.0
109,9,Dejounte Murray,3907497,18.0,8.0,91.0,36.0,13.0,24.0,-63.0,70.0,-12.0,-18.0,8.0,175.0
110,9,Tyrese Haliburton,4396993,11.0,8.0,73.0,106.0,9.0,16.0,-67.0,56.0,-11.0,-30.0,4.0,175.0
111,9,Jarrett Allen,4066328,38.0,12.0,60.0,30.0,0.0,16.0,-37.0,48.0,-19.0,-8.0,12.0,152.0
112,9,Austin Reaves,4066457,14.0,12.0,72.0,48.0,8.0,16.0,-51.0,52.0,-12.0,-24.0,4.0,139.0
113,9,Jamal Murray,3936299,26.0,10.0,94.0,44.0,12.0,20.0,-74.0,72.0,-12.0,-12.0,20.0,200.0
114,9,Keldon Johnson,4395723,23.0,13.0,55.0,10.0,2.0,0.0,-42.0,40.0,-19.0,-20.0,0.0,62.0
115,9,Michael Porter Jr.,4278104,19.0,1.0,57.0,14.0,12.0,8.0,-45.0,44.0,-2.0,-8.0,12.0,112.0
116,9,Chris Paul,2779,17.0,0.0,15.0,66.0,1.0,16.0,-23.0,14.0,-1.0,-4.0,0.0,101.0
117,9,Mike Conley,3195,2.0,4.0,39.0,36.0,9.0,12.0,-21.0,26.0,-4.0,-14.0,4.0,93.0
118,9,Aaron Gordon,3064290,17.0,17.0,65.0,20.0,2.0,12.0,-35.0,46.0,-20.0,-8.0,4.0,120.0
119,9,Damian Lillard,6606,17.0,19.0,83.0,38.0,14.0,16.0,-55.0,50.0,-20.0,-14.0,0.0,148.0
120,10,Dejounte Murray,3907497,18.0,6.0,67.0,20.0,9.0,12.0,-56.0,52.0,-9.0,-14.0,4.0,109.0
121,10,Tyrese Haliburton,4396993,14.0,5.0,76.0,106.0,15.0,20.0,-55.0,56.0,-7.0,-10.0,8.0,228.0
122,10,Jarrett Allen,4066328,35.0,6.0,54.0,24.0,0.0,8.0,-34.0,48.0,-6.0,-8.0,8.0,135.0
123,10,Jalen Duren,4433621,46.0,11.0,45.0,16.0,0.0,4.0,-28.0,34.0,-12.0,-4.0,4.0,116.0
124,10,Austin Reaves,4066457,12.0,13.0,56.0,32.0,5.0,12.0,-40.0,38.0,-15.0,-6.0,4.0,111.0
125,10,Jamal Murray,3936299,11.0,6.0,60.0,46.0,8.0,20.0,-45.0,46.0,-7.0,-10.0,4.0,139.0
126,10,Keldon Johnson,4395723,14.0,13.0,64.0,24.0,7.0,8.0,-49.0,44.0,-17.0,-8.0,0.0,100.0
127,10,Michael Porter Jr.,4278104,20.0,2.0,39.0,4.0,7.0,0.0,-35.0,30.0,-2.0,-4.0,24.0,85.0
128,10,Jalen Johnson,4701230,37.0,9.0,50.0,24.0,3.0,4.0,-32.0,38.0,-11.0,-14.0,4.0,112.0
129,10,Chris Paul,2779,9.0,2.0,46.0,26.0,10.0,8.0,-30.0,34.0,-2.0,-8.0,4.0,99.0
130,10,Aaron Gordon,3064290,10.0,1.0,16.0,6.0,1.0,4.0,-10.0,14.0,-4.0,-4.0,0.0,34.0
131,10,Damian Lillard,6606,6.0,20.0,75.0,32.0,9.0,4.0,-47.0,46.0,-21.0,-20.0,0.0,104.0
132,11,Coby White,4395651,10.0,5.0,22.0,12.0,3.0,0.0,-12.0,14.0,-6.0,-10.0,0.0,38.0
133,11,Tyrese Haliburton,4396993,25.0,14.0,84.0,96.0,10.0,36.0,-65.0,60.0,-14.0,-16.0,20.0,250.0
134,11,Jarrett Allen,4066328,58.0,18.0,74.0,32.0,0.0,16.0,-47.0,56.0,-21.0,-12.0,16.0,190.0
135,11,Austin Reaves,4066457,12.0,15.0,51.0,44.0,2.0,8.0,-31.0,34.0,-18.0,-12.0,0.0,105.0
136,11,Keldon Johnson,4395723,20.0,9.0,51.0,14.0,6.0,8.0,-49.0,36.0,-11.0,-8.0,0.0,76.0
