Unique ID,Week,Player,Player ID,REB,FTM,PTS,AST,3PTM,STL,FGA,FGM,FTA,TO,BLK,Fantasy Points
137,11,Jalen Johnson,4701230,26.0,5.0,52.0,20.0,3.0,20.0,-41.0,44.0,-5.0,-8.0,4.0,120.0
138,11,Aaron Gordon,3064290,20.0,13.0,64.0,12.0,5.0,8.0,-34.0,46.0,-16.0,-2.0,8.0,124.0
139,11,Damian Lillard,6606,15.0,26.0,79.0,56.0,5.0,24.0,-69.0,48.0,-30.0,-8.0,0.0,146.0
140,11,Dejounte Murray,3907497,13.0,12.0,76.0,20.0,4.0,0.0,-57.0,60.0,-16.0,-14.0,0.0,98.0
141,11,Kawhi Leonard,6450,31.0,14.0,88.0,24.0,10.0,40.0,-67.0,64.0,-17.0,-18.0,24.0,193.0
142,11,Jalen Duren,4433621,41.0,10.0,62.0,20.0,0.0,0.0,-33.0,52.0,-13.0,-10.0,12.0,141.0
143,11,Jamal Murray,3936299,17.0,22.0,107.0,52.0,9.0,24.0,-79.0,76.0,-25.0,-12.0,8.0,199.0
144,11,Michael Porter Jr.,4278104,13.0,5.0,48.0,6.0,7.0,0.0,-35.0,36.0,-5.0,-4.0,0.0,71.0
145,11,Chris Paul,2779,6.0,3.0,21.0,20.0,4.0,0.0,-12.0,14.0,-5.0,-2.0,0.0,49.0
146,12,Coby White,4395651,16.0,15.0,97.0,48.0,14.0,0.0,-62.0,68.0,-19.0,-12.0,8.0,173.0
147,12,Tyrese Haliburton,4396993,2.0,0.0,7.0,12.0,1.0,0.0,-5.0,6.0,0.0,-4.0,0.0,19.0
148,12,Jarrett Allen,4066328,12.0,6.0,12.0,8.0,0.0,8.0,-5.0,6.0,-6.0,-2.0,16.0,55.0
149,12,Austin Reaves,4066457,8.0,11.0,43.0,30.0,4.0,8.0,-25.0,28.0,-13.0,-8.0,0.0,86.0
150,12,Keldon Johnson,4395723,7.0,16.0,53.0,18.0,7.0,12.0,-33.0,30.0,-16.0,-8.0,8.0,94.0
151,12,Jalen Johnson,4701230,26.0,7.0,46.0,26.0,5.0,12.0,-31.0,34.0,-9.0,-16.0,16.0,116.0
152,12,Aaron Gordon,3064290,20.0,7.0,47.0,18.0,2.0,4.0,-28.0,38.0,-11.0,-12.0,0.0,85.0
153,12,Damian Lillard,6606,14.0,19.0,77.0,38.0,10.0,8.0,-54.0,48.0,-19.0,-10.0,0.0,131.0
154,12,Kawhi Leonard,6450,22.0,13.0,94.0,34.0,7.0,40.0,-68.0,74.0,-13.0,-10.0,20.0,213.0
155,12,Dejounte Murray,3907497,14.0,8.0,67.0,24.0,9.0,16.0,-51.0,50.0,-8.0,-12.0,0.0,117.0
156,12,Jalen Duren,4433621,30.0,2.0,52.0,16.0,0.0,8.0,-42.0,50.0,-3.0,-12.0,4.0,105.0
157,12,Jamal Murray,3936299,4.0,7.0,62.0,46.0,5.0,8.0,-48.0,50.0,-9.0,-22.0,8.0,111.0
158,12,Michael Porter Jr.,4278104,22.0,2.0,50.0,14.0,10.0,8.0,-36.0,38.0,-3.0,-6.0,12.0,111.0
159,13,Coby White,4395651,17.0,11.0,58.0,24.0,3.0,12.0,-48.0,44.0,-14.0,-20.0,8.0,95.0
160,13,Tyrese Haliburton,4396993,2.0,7.0,21.0,34.0,2.0,0.0,-14.0,12.0,-9.0,0.0,0.0,55.0
161,13,Jarrett Allen,4066328,38.0,7.0,45.0,16.0,0.0,20.0,-28.0,38.0,-7.0,-14.0,20.0,135.0
162,13,Franz Wagner,4566434,2.0,5.0,19.0,10.0,2.0,0.0,-13.0,12.0,-5.0,0.0,0.0,32.0
163,13,Austin Reaves,4066457,13.0,5.0,53.0,42.0,6.0,12.0,-40.0,42.0,-5.0,-12.0,4.0,120.0
164,13,Keldon Johnson,4395723,21.0,11.0,54.0,12.0,5.0,8.0,-45.0,38.0,-16.0,-14.0,0.0,74.0
165,13,Jalen Johnson,4701230,33.0,7.0,61.0,32.0,4.0,44.0,-52.0,50.0,-12.0,-24.0,8.0,151.0
166,13,Aaron Gordon,3064290,16.0,4.0,18.0,14.0,0.0,0.0,-17.0,14.0,-9.0,-6.0,4.0,38.0
167,13,Damian Lillard,6606,8.0,18.0,62.0,32.0,6.0,12.0,-42.0,38.0,-19.0,-4.0,0.0,111.0
168,13,Kawhi Leonard,6450,10.0,8.0,37.0,20.0,5.0,0.0,-25.0,24.0,-10.0,-10.0,8.0,67.0
169,13,Dejounte Murray,3907497,30.0,6.0,85.0,42.0,7.0,20.0,-74.0,72.0,-6.0,-22.0,4.0,164.0
170,13,Wendell Carter Jr.,4277847,9.0,2.0,17.0,4.0,1.0,4.0,-11.0,14.0,-2.0,-2.0,0.0,36.0
171,13,Jalen Duren,4433621,39.0,4.0,44.0,16.0,0.0,4.0,-30.0,40.0,-6.0,-10.0,4.0,105.0
172,13,Jamal Murray,3936299,16.0,6.0,71.0,44.0,7.0,0.0,-60.0,58.0,-7.0,-8.0,4.0,131.0
173,13,Michael Porter Jr.,4278104,13.0,6.0,33.0,0.0,5.0,4.0,-21.0,22.0,-8.0,-4.0,0.0,50.0
174,14,Coby White,4395651,22.0,8.0,66.0,42.0,8.0,12.0,-51.0,50.0,-10.0,-16.0,0.0,131.0
175,14,Jarrett Allen,4066328,11.0,2.0,14.0,8.0,0.0,0.0,-8.0,12.0,-4.0,-4.0,8.0,39.0
176,14,Franz Wagner,4566434,16.0,8.0,46.0,26.0,8.0,8.0,-37.0,30.0,-9.0,-20.0,4.0,80.0
177,14,Keldon Johnson,4395723,25.0,5.0,50.0,8.0,1.0,16.0,-49.0,44.0,-7.0,-10.0,20.0,103.0
178,14,Jalen Johnson,4701230,31.0,12.0,74.0,28.0,6.0,20.0,-63.0,56.0,-17.0,-4.0,12.0,155.0
179,14,Jonas Valanciunas,6477,31.0,4.0,44.0,18.0,2.0,0.0,-33.0,38.0,-6.0,-6.0,0.0,92.0
180,14,Devin Booker,3136193,16.0,27.0,152.0,20.0,13.0,16.0,-86.0,112.0,-32.0,-20.0,16.0,234.0
181,14,Damian Lillard,6606,16.0,32.0,93.0,48.0,9.0,24.0,-74.0,52.0,-35.0,-16.0,0.0,149.0
182,14,Khris Middleton,6609,13.0,9.0,38.0,26.0,3.0,16.0,-31.0,26.0,-10.0,-6.0,0.0,84.0
183,14,Dejounte Murray,3907497,22.0,15.0,80.0,40.0,11.0,4.0,-60.0,54.0,-18.0,-18.0,4.0,134.0
184,14,Kawhi Leonard,6450,25.0,6.0,67.0,30.0,5.0,20.0,-44.0,56.0,-6.0,-10.0,20.0,169.0
185,14,Wendell Carter Jr.,4277847,9.0,1.0,10.0,2.0,1.0,8.0,-9.0,8.0,-2.0,-2.0,0.0,26.0
186,14,Jalen Duren,4433621,59.0,6.0,58.0,24.0,0.0,0.0,-42.0,52.0,-8.0,-10.0,8.0,147.0
187,14,Jamal Murray,3936299,13.0,9.0,63.0,42.0,10.0,4.0,-50.0,44.0,-13.0,-16.0,4.0,110.0
188,15,Coby White,4395651,15.0,11.0,74.0,38.0,9.0,4.0,-50.0,54.0,-13.0,-14.0,0.0,128.0
189,15,Tyrese Haliburton,4396993,11.0,6.0,59.0,40.0,7.0,12.0,-44.0,46.0,-7.0,-16.0,16.0,130.0
190,15,Franz Wagner,4566434,20.0,7.0,98.0,36.0,9.0,20.0,-74.0,82.0,-9.0,-14.0,4.0,179.0
191,15,Darius Garland,4396907,5.0,5.0,32.0,28.0,3.0,16.0,-25.0,24.0,-5.0,-14.0,0.0,69.0
192,15,Keldon Johnson,4395723,5.0,2.0,14.0,6.0,2.0,12.0,-10.0,10.0,-2.0,-4.0,0.0,35.0
193,15,Jalen Johnson,4701230,31.0,5.0,56.0,30.0,5.0,16.0,-48.0,46.0,-6.0,-2.0,8.0,141.0
194,15,Jonas Valanciunas,6477,30.0,8.0,54.0,16.0,0.0,4.0,-36.0,46.0,-13.0,-6.0,8.0,111.0
195,15,Devin Booker,3136193,17.0,7.0,68.0,38.0,9.0,16.0,-56.0,52.0,-9.0,-8.0,8.0,142.0
196,15,Damian Lillard,6606,12.0,16.0,85.0,52.0,11.0,8.0,-65.0,58.0,-18.0,-34.0,16.0,141.0
197,15,Khris Middleton,6609,13.0,2.0,48.0,38.0,6.0,4.0,-38.0,40.0,-2.0,-14.0,8.0,105.0
198,15,Dejounte Murray,3907497,17.0,10.0,65.0,42.0,1.0,16.0,-60.0,54.0,-11.0,-12.0,0.0,122.0
199,15,Kawhi Leonard,6450,32.0,13.0,119.0,28.0,12.0,32.0,-83.0,94.0,-13.0,-8.0,16.0,242.0
200,15,Jalen Duren,4433621,27.0,2.0,36.0,8.0,0.0,0.0,-23.0,34.0,-3.0,-6.0,0.0,75.0
201,15,Jamal Murray,3936299,19.0,12.0,85.0,58.0,9.0,12.0,-73.0,64.0,-14.0,-10.0,24.0,186.0
202,16,Coby White,4395651,15.0,12.0,67.0,44.0,11.0,12.0,-54.0,44.0,-13.0,-18.0,0.0,120.0
203,16,Tyrese Haliburton,4396993,6.0,4.0,45.0,60.0,7.0,8.0,-36.0,34.0,-6.0,-12.0,16.0,126.0
204,16,Franz Wagner,4566434,17.0,14.0,83.0,30.0,9.0,8.0,-54.0,60.0,-17.0,-18.0,8.0,140.0
205,16,Darius Garland,4396907,2.0,7.0,38.0,32.0,3.0,4.0,-29.0,28.0,-7.0,-14.0,0.0,64.0
206,16,Jalen Johnson,4701230,39.0,7.0,60.0,36.0,5.0,20.0,-53.0,48.0,-10.0,-12.0,20.0,160.0
207,16,Donte DiVincenzo,3934673,5.0,3.0,50.0,14.0,9.0,4.0,-41.0,38.0,-5.0,-10.0,4.0,71.0
208,16,Jonas Valanciunas,6477,33.0,8.0,44.0,14.0,0.0,4.0,-32.0,36.0,-8.0,-12.0,12.0,99.0
209,16,Damian Lillard,6606,4.0,6.0,26.0,16.0,2.0,12.0,-18.0,18.0,-6.0,0.0,0.0,60.0
210,16,Devin Booker,3136193,5.0,14.0,64.0,20.0,4.0,4.0,-42.0,46.0,-19.0,-6.0,4.0,94.0
211,16,Kawhi Leonard,6450,12.0,18.0,75.0,28.0,9.0,20.0,-48.0,48.0,-20.0,-14.0,8.0,136.0
212,16,Dejounte Murray,3907497,11.0,16.0,55.0,28.0,7.0,8.0,-37.0,32.0,-20.0,-6.0,4.0,98.0
213,16,Jalen Duren,4433621,55.0,15.0,57.0,16.0,0.0,8.0,-37.0,42.0,-16.0,-18.0,16.0,138.0
214,16,Jamal Murray,3936299,8.0,2.0,41.0,28.0,7.0,12.0,-35.0,32.0,-3.0,-18.0,0.0,74.0
215,17,Coby White,4395651,20.0,16.0,88.0,36.0,12.0,20.0,-69.0,60.0,-18.0,-16.0,0.0,149.0
216,17,Tyrese Haliburton,4396993,15.0,5.0,76.0,94.0,13.0,32.0,-61.0,58.0,-6.0,-20.0,0.0,206.0
217,17,Franz Wagner,4566434,27.0,16.0,83.0,40.0,5.0,20.0,-69.0,62.0,-19.0,-26.0,4.0,143.0
218,17,Vince Williams Jr.,4397227,6.0,0.0,9.0,16.0,1.0,0.0,-6.0,8.0,0.0,-8.0,0.0,26.0
219,17,Darius Garland,4396907,10.0,13.0,67.0,66.0,10.0,24.0,-50.0,44.0,-15.0,-24.0,0.0,145.0
220,17,Jalen Johnson,4701230,42.0,5.0,65.0,26.0,2.0,8.0,-59.0,58.0,-10.0,-6.0,28.0,159.0
221,17,Donte DiVincenzo,3934673,12.0,0.0,51.0,14.0,13.0,16.0,-48.0,38.0,0.0,-10.0,12.0,98.0
222,17,Jonas Valanciunas,6477,52.0,4.0,62.0,18.0,2.0,4.0,-50.0,56.0,-6.0,-12.0,16.0,146.0
223,17,Devin Booker,3136193,17.0,35.0,113.0,58.0,4.0,28.0,-85.0,74.0,-38.0,-24.0,4.0,186.0
224,17,Damian Lillard,6606,26.0,22.0,103.0,72.0,13.0,20.0,-88.0,68.0,-23.0,-34.0,4.0,183.0
225,17,Kawhi Leonard,6450,23.0,11.0,82.0,20.0,3.0,36.0,-65.0,68.0,-12.0,-28.0,8.0,146.0
226,17,Dejounte Murray,3907497,31.0,8.0,79.0,62.0,5.0,24.0,-70.0,66.0,-11.0,-26.0,8.0,176.0
227,17,Jalen Duren,4433621,41.0,8.0,46.0,20.0,0.0,16.0,-33.0,38.0,-11.0,-14.0,16.0,127.0
228,17,Jamal Murray,3936299,6.0,0.0,21.0,16.0,1.0,12.0,-22.0,20.0,0.0,-6.0,8.0,56.0
229,18,Coby White,4395651,16.0,14.0,46.0,40.0,4.0,4.0,-48.0,28.0,-16.0,-12.0,4.0,80.0
230,18,Tyrese Haliburton,4396993,12.0,8.0,38.0,62.0,4.0,12.0,-49.0,26.0,-10.0,-8.0,8.0,103.0
231,18,Franz Wagner,4566434,16.0,10.0,48.0,24.0,0.0,8.0,-32.0,38.0,-12.0,-20.0,20.0,100.0
232,18,Darius Garland,4396907,12.0,6.0,79.0,42.0,21.0,16.0,-67.0,52.0,-8.0,-20.0,0.0,133.0
233,18,Jalen Johnson,4701230,27.0,6.0,43.0,14.0,3.0,4.0,-38.0,34.0,-8.0,-16.0,8.0,77.0
234,18,Donte DiVincenzo,3934673,20.0,2.0,88.0,24.0,20.0,32.0,-77.0,66.0,-4.0,-18.0,8.0,161.0
235,18,Jonas Valanciunas,6477,21.0,3.0,22.0,8.0,1.0,0.0,-18.0,18.0,-4.0,-8.0,8.0,51.0
236,18,Devin Booker,3136193,9.0,11.0,59.0,16.0,8.0,8.0,-44.0,40.0,-11.0,-12.0,4.0,88.0
237,18,Damian Lillard,6606,18.0,12.0,56.0,32.0,10.0,8.0,-46.0,34.0,-13.0,-16.0,0.0,95.0
238,18,Dejounte Murray,3907497,16.0,8.0,65.0,54.0,5.0,12.0,-57.0,52.0,-13.0,-18.0,12.0,136.0
239,18,Kawhi Leonard,6450,21.0,15.0,85.0,22.0,6.0,16.0,-65.0,64.0,-17.0,-8.0,8.0,147.0
240,18,Jalen Duren,4433621,40.0,16.0,50.0,26.0,0.0,12.0,-36.0,34.0,-18.0,-18.0,20.0,126.0
241,18,Jamal Murray,3936299,10.0,2.0,62.0,40.0,8.0,8.0,-44.0,52.0,-3.0,-16.0,0.0,119.0
242,18,Marvin Bagley III,4277848,10.0,0.0,10.0,0.0,0.0,0.0,-9.0,10.0,0.0,0.0,0.0,21.0
243,19,Coby White,4395651,20.0,10.0,101.0,48.0,17.0,12.0,-66.0,74.0,-11.0,-22.0,4.0,187.0
244,19,Tyrese Haliburton,4396993,16.0,10.0,62.0,64.0,6.0,4.0,-45.0,46.0,-11.0,-22.0,4.0,134.0
245,19,Franz Wagner,4566434,16.0,11.0,62.0,12.0,3.0,16.0,-60.0,48.0,-15.0,-12.0,8.0,89.0
246,19,Darius Garland,4396907,7.0,12.0,79.0,62.0,11.0,12.0,-69.0,56.0,-15.0,-30.0,0.0,125.0
247,19,Jalen Johnson,4701230,13.0,0.0,33.0,22.0,3.0,4.0,-22.0,30.0,0.0,-4.0,4.0,83.0
248,19,Grayson Allen,3135045,8.0,3.0,33.0,10.0,8.0,0.0,-22.0,22.0,-4.0,-6.0,4.0,56.0
249,19,Donte DiVincenzo,3934673,17.0,4.0,47.0,30.0,11.0,24.0,-54.0,32.0,-4.0,-26.0,8.0,89.0
250,19,Jonas Valanciunas,6477,29.0,6.0,20.0,8.0,2.0,4.0,-15.0,12.0,-6.0,-10.0,16.0,66.0
251,19,Damian Lillard,6606,17.0,24.0,124.0,66.0,20.0,8.0,-80.0,80.0,-25.0,-18.0,4.0,220.0
252,19,Dejounte Murray,3907497,19.0,12.0,103.0,64.0,15.0,24.0,-83.0,76.0,-16.0,-20.0,0.0,194.0
253,19,Kawhi Leonard,6450,19.0,10.0,63.0,32.0,3.0,24.0,-52.0,50.0,-11.0,-6.0,8.0,140.0
254,19,Jalen Duren,4433621,32.0,8.0,32.0,20.0,0.0,8.0,-17.0,24.0,-8.0,-14.0,0.0,85.0
255,19,Jamal Murray,3936299,16.0,11.0,84.0,48.0,9.0,20.0,-64.0,64.0,-13.0,-18.0,0.0,157.0
256,19,Marvin Bagley III,4277848,9.0,2.0,6.0,8.0,0.0,4.0,-7.0,4.0,-2.0,-4.0,0.0,20.0
257,20,Coby White,4395651,6.0,5.0,27.0,8.0,2.0,8.0,-31.0,20.0,-6.0,-6.0,4.0,37.0
258,20,Tyrese Haliburton,4396993,14.0,5.0,49.0,60.0,4.0,16.0,-46.0,40.0,-5.0,-16.0,16.0,137.0
259,20,Franz Wagner,4566434,20.0,14.0,55.0,28.0,1.0,20.0,-36.0,40.0,-15.0,-18.0,4.0,113.0
260,20,Darius Garland,4396907,13.0,5.0,69.0,40.0,14.0,16.0,-46.0,50.0,-7.0,-12.0,4.0,146.0
261,20,Jalen Johnson,4701230,12.0,1.0,18.0,12.0,3.0,12.0,-14.0,14.0,-1.0,-2.0,8.0,63.0
262,20,Grayson Allen,3135045,6.0,4.0,51.0,10.0,11.0,16.0,-27.0,36.0,-4.0,-8.0,8.0,103.0
263,20,Donte DiVincenzo,3934673,9.0,8.0,43.0,18.0,9.0,16.0,-39.0,26.0,-9.0,-4.0,4.0,81.0
264,20,Jonas Valanciunas,6477,16.0,2.0,13.0,14.0,1.0,0.0,-16.0,10.0,-2.0,-6.0,0.0,32.0
265,20,Damian Lillard,6606,13.0,13.0,58.0,62.0,7.0,12.0,-47.0,38.0,-14.0,-12.0,8.0,138.0
266,20,Devin Booker,3136193,17.0,13.0,67.0,48.0,2.0,8.0,-60.0,52.0,-14.0,-8.0,8.0,133.0
267,20,Khris Middleton,6609,3.0,4.0,22.0,14.0,2.0,4.0,-15.0,16.0,-4.0,-4.0,0.0,42.0
268,20,Kawhi Leonard,6450,16.0,17.0,84.0,18.0,7.0,8.0,-53.0,60.0,-20.0,-14.0,16.0,139.0
269,20,Dejounte Murray,3907497,12.0,14.0,94.0,44.0,16.0,24.0,-70.0,64.0,-16.0,-24.0,4.0,162.0
270,20,Jalen Duren,4433621,60.0,16.0,70.0,16.0,0.0,8.0,-38.0,54.0,-22.0,-26.0,12.0,150.0
271,20,Jamal Murray,3936299,21.0,13.0,78.0,64.0,7.0,24.0,-69.0,58.0,-16.0,-10.0,12.0,182.0
